artista,musica,observacao,tag
(G)I-DLE,Latata,sem bateria,KPOP
(K)NoW_NAME,Welcome to Chaos,Dorohedoro,anime
1640m,Time Machine,Hatsune Miku,Jrock Vocaloid
24k,BINGO,sem bateria,KPOP
3 Doors Down,Here Without You,,rock
3 Doors Down,It's Not My Time,,rock
3 Doors Down,When I'm Gone,,rock
3 Doors Down,When You're Young,,rock
3-nen E-gumi Utatan,Question,sem bateria Assassination Classroom,anime
3-nen E-gumi Utatan,Seishun Satsubatsuron,sem bateria Assassination Classroom,anime
30 Seconds to Mars,Attack,,pop rock
30 Seconds to Mars,Closer to the Edge,,pop rock
4*Town,Nobody Like U,Disney Turning Red,
4Minute,Ready Go,sem bateria,KPOP
4 Non Blondes,What's Up?,,rock
7!!,Lovers,Naruto Shippuden,anime 
7!!,Orange,Orange,anime
The 88,Sons and Daughters,,pop rock
96neko,Uso no Hibana,,JPOP
9MM Parabellum Bullet,Hangyaku no March,,anime
9MM Parabellum Bullet,Heart Ni Hi Wo Tsukete,,
A-HA,Take on Me,Mario Bros Movie,soundtrack pop 50s-80s
A-Rise,Shocking Party,Love live,anime
Aaron Montalvo,Mi Corazon Encantado,Dragon Ball GT,anime
Aaron Montalvo,Sola Nunca Estaron,Dragon Ball GT,anime
ABBA,Dancing Queen,,50s-80s pop
ABBA,Mamma Mia,,50s-80s pop
AC/DC,Highway to Hell,,Rock
AC/DC,Thunderstruck,,Rock
AC/DC,TNT (T.N.T.),,Rock
A.C.E,Cactus,sem bateria,KPOP
A-Rise,Shocking Party,Love Live,anime
ACCAMER,Nomic,sem bateria Akulas,anime
Ace Collection,Monochrome City,Koikimo,anime
The Acro-brats,Day Late Dollar short,,
Adele,Hello,,pop
Adele,Rolling in the Deep,,pop
Adele,Someone Like You,,pop
Ado,Backlight,One Piece,anime
Ado,Dried Flowers,,JPOP JROCK
Ado,Kura Kura,Spy x Family,anime
Ado,New Genesis,One Piece,anime
Ado,Odo,,JPOP JROCK
Ado,Show,,JPOP JROCK
Ado,Tot Musica,One Piece,anime
Ado,Usseewa,,JPOP JROCK
Adrián Barba,Ángeles Fuimos,Dragon Ball Z,anime
Adrián Barba,El poder nuestro es,Dragon Ball Z,anime
A Day to Remember,2nd Sucks,,Rock
A Day to Remember,All I Want,,Rock
A Day to Remember,All Signs Point to Lauderdale,,Rock
A Day to Remember,The Downfall of Us All,,Rock
A Day to Remember,Have Faith in Me,,Rock
A Day to Remember,I'm Made of Wax…,,Rock
A Day to Remember,If It Means a Lot to You,,Rock
A Day to Remember,It’s Complicated,,Rock
A Day to Remember,The Plot to Bomb the Panhandle,,Rock
A Day to Remember,Sticks & Bricks,,Rock
A Day To Remember,SHOT IN THE DARK,,
A Day To Remember,My Life For Hire,,
Aerosmith,Toys in the Attic,,
Aerosmith,Crazy,,rock 50s-80s
Aerosmith,Dream On,,rock 50s-80s
Aerosmith,Legendary child,,rock 50s-80s
Aerosmith,Lover Alot,,rock 50s-80s
Aerosmith,Sweet Emotion,,rock 50s-80s
Aerosmith,Walk This Way,,rock 50s-80s
Aerosmith,Back in the Saddle,,rock 50s-80s
Aerosmith,Train Kept A Rollin',,rock 50s-80s
aespa,Drama,,KPOP
aespa,Zoom Zoom,,k-pop
aespa,Whiplash,,KPOP
AFI,Girl's Not Grey,,rock
Agust D,Agust D,,KPOP
Ai Maeda,I Wish,Digimon,anime
Aiko,Itsu Aetara,Kimi wa Houkago Insomnia,anime
Aimer,Koi wo Shita no wa,Koe no Katachi Silent Voice,anime
Aimer,Brave Shine,Fate/Stay Night Unlimited Blade Works,anime
Aimer,Closer,,JPOP JROCK
Aimer,Grace Note,,JPOP JROCK
Aimer,Torches,Vinland Saga,anime
Aimer,Zankyou Sanka,Kimetsu no Yaiba Demon Slayer,anime
Aimyon,Marigold,sem bateria,JPOP JROCK
Aina the End,Kakumei Douchuu,Dandadan,anime
Ainz Kazuma Subaru and Tanya,Isekai Quartet,sem bateria Isekai Quartet,anime
Ainz Kazuma Subaru and Tanya,Isekai Showtime,sem bateria Isekai Quartet,anime
AiScReam,Ai Scream!,Love Live,anime
Akai Haato,Last Christmas,vtuber Hololive,
Akasaki,Bunny Girl,,jrock jpop
AKB48,Sugar Rush,Disney Detona Ralph,soundtrack
Akeboshi,Wind,Naruto,anime
Akihiro Honda,Umapyoi Legend,sem bateria Uma Musume,anime
Akiko Shikata,Gotome Kokoro,,j-song
Akiko Wada,Yona Yona Dance,sem bateria,jrock jpop
Akira Yamaoka,Th3me of Laura,sem bateria Silent Hill,soundtrack
Akira Yamaoka,Venus,,jrock jpop
Akira Yamaoka,Your Rain,Silent Hill,soundtrack
Akitaka Tohyama,Everlasting Love,Katamari Damacy,
Alanis Morissette,Head Over Feet,,rock 50s-80s
Alanis Morissette,Ironic,,rock 50s-80s
Albedo Aqua Emilia and Tanya,Isekai Girls? Talk,sem bateria Isekai Quartet,anime
Aldious,Spirit Black,,jrock
Alestorm,Fucked with an Anchor,,Metal
Alestorm,Treasure Chest Party Quest,,metal
Alestorm,Walk The Plank,,metal
Alestorm,Zombies Ate My Pirate Ship,,metal
Alestorm,Buckfast Powersmash,,metal
Alestorm,I Am a Cinder Drinker,somente vocal,metal
Alestorm,You Are a Pirate,,metal
ALI,Casanova Posse,Dr. Stone,anime
ALI,Wildside,sem bateria Beastars,anime
ALI feat. AKLO,Lost in Paradise,Jujutsu Kaisen,anime
Alice Nine,Drella,,jrock
Alice in Chains,Grind,,rock
Alice in Chains,Heaven Beside You,,rock
Alice in Chains,Man in the box,,rock
Alice in Chains,No Excuses,,rock
Alice in Chains,Rooster,,rock
Alice in Chains,We Die Young,,rock
Alice in Chains,Would?,,rock
Alice in Chains,Check My Brain,,rock
Alice in Chains,ast of My Kind,,rock
